_ga;GA1.2.61312749.1575345986;.guru99.com;/;Thu Dec 02 09:36:26 IST 2021;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Tue Dec 03 09:37:25 IST 2019;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
_gid;GA1.2.1930997101.1575345986;.guru99.com;/;Wed Dec 04 09:36:26 IST 2019;false
